nbagg,rmse
10,0.383471885727086
12,0.400692231222668
14,0.391287690023102
16,0.379389252250982
18,0.379927424875456
20,0.379733548472858
22,0.376078228323732
24,0.371692171962537
26,0.370188674000329
28,0.355086492393747
30,0.374541209675286
32,0.377874790523822
34,0.379179884821321
36,0.369425490900757
38,0.37115194924898
40,0.363698502659539
42,0.370295186756662
44,0.364170110777089
46,0.358346950440588
48,0.370689532214983
50,0.367208005641636
52,0.366733633411226
54,0.362020218200506
56,0.364275259230211
58,0.370999345032385
60,0.366084297413213
62,0.366978150528603
64,0.358999647284
66,0.364632885936635
68,0.363627697963403
70,0.364546190787871
72,0.36503801008097
74,0.36251094994438
76,0.361808693015355
78,0.363894690657789
80,0.365321283961247
82,0.362012956416002
84,0.36449664514889
86,0.369133323983098
88,0.364298789445072
90,0.362634958083021
92,0.363337229743426
94,0.363694004096177
96,0.362458968974183
98,0.36232761084262
100,0.362866166522701
102,0.362082329202982
104,0.364040734851228
106,0.356800866477065
108,0.361115031705806
110,0.363675940207181
112,0.362229472455512
114,0.362385530878143
116,0.363886349940766
118,0.364796469199205
120,0.362004304887463
122,0.361432191994548
124,0.367285994717912
126,0.358391204382404
128,0.358499124146934
130,0.357339308664473
132,0.36121616908369
134,0.364172008218187
136,0.363315783196503
138,0.363667312619774
140,0.361283274359851
142,0.366999243773362
144,0.362145018102224
146,0.358604346773104
148,0.358429736890114
150,0.361148975927827
152,0.36208335747114
154,0.356907419545419
156,0.359124291454718
158,0.362897583291834
160,0.359562659654437
162,0.360091316026437
164,0.358656512902316
166,0.35742090156376
168,0.361944577859364
170,0.359561246889291
172,0.359666558027016
174,0.357421768450904
176,0.361440306847548
178,0.363447349928515
180,0.355139210909084
182,0.360776102233059
184,0.361135263761878
186,0.361338021658972
188,0.357876994769493
190,0.366456909156434
192,0.360365051608084
194,0.362747717516929
196,0.363950205411896
198,0.364502002582952
200,0.359151291036059
